epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3944.87,0.84097,0.2899,0.98643,0.98695,0.97041,0.992,0.835,0.62532,0.23323,0.8548,0.000485566,0.000485566,0.000485566
43,4037.94,0.84192,0.28203,0.9791,0.99374,0.97041,0.99295,0.82337,0.70329,0.23012,0.86615,0.000466163,0.000466163,0.000466163
44,4130.23,0.84637,0.28459,0.98448,0.99393,0.96919,0.98791,0.834,0.63966,0.23219,0.8542,0.000446819,0.000446819,0.000446819
45,4222.82,0.84455,0.28338,0.98382,0.98808,0.98137,0.99223,0.82312,0.66096,0.22228,0.85704,0.000427565,0.000427565,0.000427565
46,4314.69,0.81171,0.26861,0.97422,0.9763,0.97518,0.99147,0.83821,0.64554,0.22321,0.85493,0.00040843,0.00040843,0.00040843
47,4407.92,0.81914,0.27125,0.97854,0.99397,0.97607,0.99201,0.83491,0.63193,0.22315,0.85421,0.000389445,0.000389445,0.000389445
48,4500.33,0.838,0.27209,0.98122,0.98244,0.97041,0.99179,0.81536,0.69498,0.22801,0.86914,0.000370637,0.000370637,0.000370637
49,4593.7,0.81138,0.26421,0.96325,0.98127,0.97633,0.99312,0.85274,0.6128,0.22261,0.8486,0.000352037,0.000352037,0.000352037
50,4686.28,0.8252,0.26795,0.96775,0.99192,0.95266,0.98906,0.82534,0.68155,0.23683,0.8627,0.000333672,0.000333672,0.000333672
51,4778.58,0.83915,0.26878,0.97541,0.99394,0.97035,0.99106,0.85161,0.64103,0.21561,0.86135,0.000315572,0.000315572,0.000315572
52,4871.44,0.79617,0.26227,0.9592,0.99393,0.96926,0.99342,0.79319,0.75459,0.22458,0.8703,0.000297763,0.000297763,0.000297763
53,4966.6,0.78394,0.25583,0.96339,0.99397,0.97483,0.99425,0.79346,0.75405,0.2266,0.87527,0.000280275,0.000280275,0.000280275
54,5059.92,0.79618,0.26122,0.96271,0.98679,0.97041,0.99217,0.80358,0.72444,0.22558,0.86542,0.000263132,0.000263132,0.000263132
55,5152.2,0.81195,0.2568,0.96171,0.99394,0.96983,0.99318,0.79096,0.78224,0.22889,0.87176,0.000246363,0.000246363,0.000246363
56,5245.32,0.78716,0.25306,0.94847,0.99191,0.98225,0.99221,0.84542,0.64374,0.21012,0.85231,0.000229993,0.000229993,0.000229993
57,5337.8,0.79029,0.24947,0.95246,0.99313,0.98817,0.99169,0.83024,0.69935,0.21081,0.86404,0.000214046,0.000214046,0.000214046
58,5432.11,0.78018,0.247,0.95345,0.98701,0.98817,0.99326,0.83084,0.7042,0.21171,0.86487,0.000198548,0.000198548,0.000198548
59,5524.53,0.77365,0.24366,0.95305,0.98816,0.9877,0.9936,0.82993,0.68208,0.21583,0.8596,0.000183523,0.000183523,0.000183523
60,5615.72,0.76975,0.25196,0.95274,0.98815,0.98702,0.993,0.83204,0.65576,0.20737,0.84808,0.000168994,0.000168994,0.000168994
61,5708.87,0.79484,0.25274,0.96636,0.98729,0.97633,0.9932,0.82647,0.67219,0.21014,0.85141,0.000154982,0.000154982,0.000154982
62,5805.99,0.77046,0.24606,0.95647,0.99397,0.9759,0.99195,0.85223,0.59264,0.2042,0.83783,0.00014151,0.00014151,0.00014151
63,5900.19,0.75383,0.23839,0.94343,0.99396,0.97402,0.99324,0.84228,0.65477,0.20852,0.84929,0.000128599,0.000128599,0.000128599
64,5995.23,0.75633,0.23706,0.93736,0.99334,0.97633,0.98964,0.84549,0.62411,0.21193,0.84784,0.000116268,0.000116268,0.000116268
65,6091.59,0.79355,0.24719,0.95733,0.98801,0.97493,0.99161,0.82838,0.66234,0.20716,0.8502,0.000104537,0.000104537,0.000104537
66,6186.91,0.76122,0.24027,0.94088,0.98223,0.98114,0.99131,0.82971,0.67733,0.20696,0.854,9.34225e-05,9.34225e-05,9.34225e-05
67,6282.22,0.74755,0.23619,0.9403,0.98223,0.98134,0.99091,0.8219,0.71611,0.20839,0.86057,8.29431e-05,8.29431e-05,8.29431e-05
68,6377.79,0.74443,0.24017,0.94169,0.98232,0.98648,0.99117,0.83459,0.66804,0.20284,0.85331,7.31145e-05,7.31145e-05,7.31145e-05
69,6472.58,0.73363,0.22576,0.93239,0.99396,0.97446,0.99207,0.83297,0.68487,0.20494,0.85626,6.39518e-05,6.39518e-05,6.39518e-05
